X_in,Y_in,Z_in
3.19005482,-0.13353030,11.24859393
3.05040907,-0.10721624,11.24859393
2.90988022,-0.07829023,11.24859393
2.76477881,-0.04828006,11.24859393
2.61390957,-0.01729727,11.24859393
2.45593682,0.01438243,11.24859393
2.28935336,0.04657747,11.24859393
2.11674954,0.07821702,11.24859393
1.94391371,0.10785665,11.24859393
1.77350364,0.13489293,11.24859393
1.60591065,0.15922075,11.24859393
1.43951484,0.18104934,11.24859393
1.27317765,0.20052113,11.24859393
1.10654746,0.21765365,11.24859393
0.93931872,0.23250497,11.24859393
0.77197706,0.24509363,11.24859393
0.60530726,0.25525208,11.24859393
0.44133758,0.26300749,11.24859393
0.28033815,0.26847477,11.24859393
0.12478026,0.27084581,11.24859393
-0.06505920,0.26968163,11.24859393
-0.11977592,0.25749257,11.24859393
-0.30601406,0.25008811,11.24859393
-0.43569163,0.23988126,11.24859393
-0.55769327,0.22504906,11.24859393
-0.67116936,0.20586144,11.24859393
-0.77438356,0.18095724,11.24859393
-0.86588392,0.15166420,11.24859393
-0.93964748,0.11961723,11.24859393
-0.98643680,0.09069359,11.24859393
-1.00713795,0.07300840,11.24859393
-1.06728805,0.05326613,11.24859393
-1.02024086,0.07019428,11.24859393
-1.02916532,0.06041533,11.24859393
-1.00762401,0.03985051,11.24859393
-0.95672642,0.01537579,11.24859393
-0.88151460,-0.00950511,11.24859393
-0.78979344,-0.03136816,11.24859393
-0.68713469,-0.05028744,11.24859393
-0.57419735,-0.06646966,11.24859393
-0.45308698,-0.08069169,11.24859393
-0.32414165,-0.09312137,11.24859393
-0.13869919,-0.10858175,11.24859393
-0.08470081,-0.12387541,11.24859393
0.10436654,-0.13818166,11.24859393
0.25950044,-0.14904832,11.24859393
0.42022289,-0.16006549,11.24859393
0.58406472,-0.17038239,11.24859393
0.75074731,-0.18028469,11.24859393
0.91825729,-0.18950073,11.24859393
1.08580350,-0.19799100,11.24859393
1.25290243,-0.20573139,11.24859393
1.41986603,-0.21265187,11.24859393
1.58704805,-0.21872729,11.24859393
1.75559770,-0.22388662,11.24859393
1.92715406,-0.22795487,11.24859393
2.10133432,-0.23065614,11.24859393
2.27547007,-0.23160048,11.24859393
2.44371544,-0.23049614,11.24859393
2.60343531,-0.22716879,11.24859393
2.75613904,-0.22139419,11.24859393
2.90315164,-0.21311006,11.24859393
3.04567265,-0.20211949,11.24859393
3.18743413,-0.18604087,11.24859393
