X_in,Y_in,Z_in
2.57774498,-0.28486991,28.12148481
2.46076777,-0.25163692,28.12148481
2.33999330,-0.21720253,28.12148481
2.21440419,-0.18158436,28.12148481
2.08285413,-0.14492896,28.12148481
1.94405769,-0.10729292,28.12148481
1.80013742,-0.06974033,28.12148481
1.65589574,-0.03385247,28.12148481
1.51354144,-0.00030521,28.12148481
1.37339874,0.03078829,28.12148481
1.23411142,0.05970680,28.12148481
1.09472600,0.08664236,28.12148481
0.95494635,0.11163210,28.12148481
0.81451781,0.13474419,28.12148481
0.67385206,0.15596332,28.12148481
0.53360197,0.17509885,28.12148481
0.39548374,0.19204454,28.12148481
0.25973292,0.20687970,28.12148481
0.12838786,0.21876847,28.12148481
-0.03215702,0.22986962,28.12148481
-0.07884126,0.23237276,28.12148481
-0.23703606,0.23822489,28.12148481
-0.34762423,0.23873344,28.12148481
-0.45213072,0.23586790,28.12148481
-0.55024269,0.23002441,28.12148481
-0.64061375,0.21994592,28.12148481
-0.72278420,0.20630037,28.12148481
-0.79293233,0.18868138,28.12148481
-0.84483519,0.16754255,28.12148481
-0.87737331,0.14281614,28.12148481
-0.89290367,0.11189535,28.12148481
-0.89290367,0.11189535,28.12148481
-0.88485240,0.08313446,28.12148481
-0.85794933,0.06289424,28.12148481
-0.81119813,0.04292379,28.12148481
-0.74578988,0.02271937,28.12148481
-0.66769242,0.00386323,28.12148481
-0.58085726,-0.01427404,28.12148481
-0.48569932,-0.03200320,28.12148481
-0.38378880,-0.04985303,28.12148481
-0.27537140,-0.06768391,28.12148481
-0.11952291,-0.09225916,28.12148481
-0.07341786,-0.09938407,28.12148481
0.08550508,-0.12342794,28.12148481
0.21595946,-0.14242422,28.12148481
0.35112843,-0.16190248,28.12148481
0.48897810,-0.18099114,28.12148481
0.62925505,-0.19991237,28.12148481
0.77027439,-0.21830993,28.12148481
0.91136983,-0.23610031,28.12148481
1.05213416,-0.25323249,28.12148481
1.19283547,-0.26966751,28.12148481
1.33377436,-0.28540676,28.12148481
1.47592670,-0.30046370,28.12148481
1.62068899,-0.31479568,28.12148481
1.76775491,-0.32814665,28.12148481
1.91489329,-0.34001934,28.12148481
2.05718087,-0.34979678,28.12148481
2.19240109,-0.35716493,28.12148481
2.32184387,-0.36203151,28.12148481
2.44663315,-0.36442851,28.12148481
2.56779524,-0.36426690,28.12148481
