X_in,Y_in,Z_in
3.19005482,-0.13353030,11.24859393
3.05040907,-0.10721624,11.24859393
2.90988022,-0.07829023,11.24859393
2.76477881,-0.04828006,11.24859393
2.61390957,-0.01729727,11.24859393
2.45593682,0.01438243,11.24859393
2.28935336,0.04657747,11.24859393
2.11674954,0.07821702,11.24859393
1.94391371,0.10785665,11.24859393
1.77350364,0.13489293,11.24859393
1.60591065,0.15922075,11.24859393
1.43951484,0.18104934,11.24859393
1.27317765,0.20052113,11.24859393
1.10654746,0.21765365,11.24859393
0.93931872,0.23250497,11.24859393
0.77197706,0.24509363,11.24859393
0.60530726,0.25525208,11.24859393
0.44133758,0.26300749,11.24859393
0.28033815,0.26847477,11.24859393
0.12478026,0.27084581,11.24859393
-0.06505920,0.26968163,11.24859393
-0.12019827,0.26848470,11.24859393
-0.30681239,0.26131446,11.24859393
-0.43695305,0.25205990,11.24859393
-0.55964308,0.23935204,11.24859393
-0.67454922,0.22368784,11.24859393
-0.77997725,0.20369880,11.24859393
-0.87544501,0.18021681,11.24859393
-0.95642097,0.15310131,11.24859393
-1.01562424,0.12344406,11.24859393
-1.05173195,0.09126462,11.24859393
-1.06728805,0.05326613,11.24859393
-1.06728805,0.05326613,11.24859393
-1.05529226,0.01992709,11.24859393
-1.02186704,-0.00164210,11.24859393
-0.96511613,-0.02112279,11.24859393
-0.88639652,-0.03921761,11.24859393
-0.79286766,-0.05458491,11.24859393
-0.68912284,-0.06832217,11.24859393
-0.57562292,-0.08083437,11.24859393
-0.45416866,-0.09288760,11.24859393
-0.32506137,-0.10433843,11.24859393
-0.13956417,-0.11954794,11.24859393
-0.08470081,-0.12387541,11.24859393
0.10436654,-0.13818166,11.24859393
0.25950044,-0.14904832,11.24859393
0.42022289,-0.16006549,11.24859393
0.58406472,-0.17038239,11.24859393
0.75074731,-0.18028469,11.24859393
0.91825729,-0.18950073,11.24859393
1.08580350,-0.19799100,11.24859393
1.25290243,-0.20573139,11.24859393
1.41986603,-0.21265187,11.24859393
1.58704805,-0.21872729,11.24859393
1.75559770,-0.22388662,11.24859393
1.92715406,-0.22795487,11.24859393
2.10133432,-0.23065614,11.24859393
2.27547007,-0.23160048,11.24859393
2.44371544,-0.23049614,11.24859393
2.60343531,-0.22716879,11.24859393
2.75613904,-0.22139419,11.24859393
2.90315164,-0.21311006,11.24859393
3.04567265,-0.20211949,11.24859393
3.18743413,-0.18604087,11.24859393
