X_in,Y_in,Z_in
3.35242937,-0.05659935,5.62429696
3.20505273,-0.03258022,5.62429696
3.05668015,-0.00583576,5.62429696
2.90347606,0.02192936,5.62429696
2.74418780,0.05056635,5.62429696
2.57741957,0.07974994,5.62429696
2.40159288,0.10924945,5.62429696
2.21945673,0.13800614,5.62429696
2.03712918,0.16465221,5.62429696
1.85741779,0.18862256,5.62429696
1.68073638,0.20981684,5.62429696
1.50537788,0.22841265,5.62429696
1.33014259,0.24452993,5.62429696
1.15466069,0.25817790,5.62429696
0.97860971,0.26940960,5.62429696
0.80249928,0.27825735,5.62429696
0.62715813,0.28456545,5.62429696
0.45471614,0.28841580,5.62429696
0.28545402,0.28993643,5.62429696
0.12198883,0.28834194,5.62429696
-0.07739440,0.28212610,5.62429696
-0.13458503,0.26843885,5.62429696
-0.33004033,0.25575766,5.62429696
-0.46601364,0.24164951,5.62429696
-0.59381476,0.22293703,5.62429696
-0.71258386,0.19994096,5.62429696
-0.82046473,0.17127622,5.62429696
-0.91601482,0.13835285,5.62429696
-0.99302451,0.10295577,5.62429696
-1.04204510,0.07125674,5.62429696
-1.06411495,0.05132359,5.62429696
-1.12450977,0.02804352,5.62429696
-1.07788779,0.04610983,5.62429696
-1.08589439,0.03438648,5.62429696
-1.06213509,0.01329589,5.62429696
-1.00774742,-0.01083694,5.62429696
-0.92792756,-0.03467080,5.62429696
-0.83092816,-0.05491813,5.62429696
-0.72255076,-0.07185572,5.62429696
-0.60347183,-0.08572754,5.62429696
-0.47586795,-0.09740333,5.62429696
-0.34008818,-0.10704950,5.62429696
-0.14488688,-0.11843532,5.62429696
-0.08773531,-0.13253117,5.62429696
0.11124143,-0.14261518,5.62429696
0.27448339,-0.14997179,5.62429696
0.44359968,-0.15733987,5.62429696
0.61597438,-0.16388905,5.62429696
0.79132225,-0.16992726,5.62429696
0.96752130,-0.17522156,5.62429696
1.14373942,-0.17975119,5.62429696
1.31946810,-0.18350347,5.62429696
1.49503318,-0.18639651,5.62429696
1.67080561,-0.18839456,5.62429696
1.84799068,-0.18939264,5.62429696
2.02830556,-0.18916354,5.62429696
2.21134094,-0.18742699,5.62429696
2.39428362,-0.18384278,5.62429696
2.57098527,-0.17825758,5.62429696
2.73867333,-0.17055725,5.62429696
2.89892740,-0.16046612,5.62429696
3.05313769,-0.14788383,5.62429696
3.20255910,-0.13257163,5.62429696
3.35104963,-0.11192523,5.62429696
