X_in,Y_in,Z_in
2.57774498,-0.28486991,28.12148481
2.46076777,-0.25163692,28.12148481
2.33999330,-0.21720253,28.12148481
2.21440419,-0.18158436,28.12148481
2.08285413,-0.14492896,28.12148481
1.94405769,-0.10729292,28.12148481
1.80013742,-0.06974033,28.12148481
1.65589574,-0.03385247,28.12148481
1.51354144,-0.00030521,28.12148481
1.37339874,0.03078829,28.12148481
1.23411142,0.05970680,28.12148481
1.09472600,0.08664236,28.12148481
0.95494635,0.11163210,28.12148481
0.81451781,0.13474419,28.12148481
0.67385206,0.15596332,28.12148481
0.53360197,0.17509885,28.12148481
0.39548374,0.19204454,28.12148481
0.25973292,0.20687970,28.12148481
0.12838786,0.21876847,28.12148481
-0.03215702,0.22986962,28.12148481
-0.07924791,0.22138018,28.12148481
-0.23708772,0.22698968,28.12148481
-0.34728998,0.22654350,28.12148481
-0.45127730,0.22153907,28.12148481
-0.54824328,0.21209623,28.12148481
-0.63679559,0.19695386,28.12148481
-0.71547372,0.17719447,28.12148481
-0.77883360,0.15406432,28.12148481
-0.81831567,0.13264484,28.12148481
-0.83432387,0.12119401,28.12148481
-0.89290367,0.11189535,28.12148481
-0.84475470,0.12537409,28.12148481
-0.85589018,0.12163071,28.12148481
-0.84073147,0.10320157,28.12148481
-0.80016649,0.07863679,28.12148481
-0.73874655,0.05189107,28.12148481
-0.66292714,0.02667781,28.12148481
-0.57755316,0.00346011,28.12148481
-0.48322285,-0.01786422,28.12148481
-0.38180982,-0.03782016,28.12148481
-0.27362136,-0.05658571,28.12148481
-0.11784294,-0.08138810,28.12148481
-0.07341786,-0.09938407,28.12148481
0.08550508,-0.12342794,28.12148481
0.21595946,-0.14242422,28.12148481
0.35112843,-0.16190248,28.12148481
0.48897810,-0.18099114,28.12148481
0.62925505,-0.19991237,28.12148481
0.77027439,-0.21830993,28.12148481
0.91136983,-0.23610031,28.12148481
1.05213416,-0.25323249,28.12148481
1.19283547,-0.26966751,28.12148481
1.33377436,-0.28540676,28.12148481
1.47592670,-0.30046370,28.12148481
1.62068899,-0.31479568,28.12148481
1.76775491,-0.32814665,28.12148481
1.91489329,-0.34001934,28.12148481
2.05718087,-0.34979678,28.12148481
2.19240109,-0.35716493,28.12148481
2.32184387,-0.36203151,28.12148481
2.44663315,-0.36442851,28.12148481
2.56779524,-0.36426690,28.12148481
