X_in,Y_in,Z_in
3.35242937,-0.05659935,5.62429696
3.20505273,-0.03258022,5.62429696
3.05668015,-0.00583576,5.62429696
2.90347606,0.02192936,5.62429696
2.74418780,0.05056635,5.62429696
2.57741957,0.07974994,5.62429696
2.40159288,0.10924945,5.62429696
2.21945673,0.13800614,5.62429696
2.03712918,0.16465221,5.62429696
1.85741779,0.18862256,5.62429696
1.68073638,0.20981684,5.62429696
1.50537788,0.22841265,5.62429696
1.33014259,0.24452993,5.62429696
1.15466069,0.25817790,5.62429696
0.97860971,0.26940960,5.62429696
0.80249928,0.27825735,5.62429696
0.62715813,0.28456545,5.62429696
0.45471614,0.28841580,5.62429696
0.28545402,0.28993643,5.62429696
0.12198883,0.28834194,5.62429696
-0.07739440,0.28212610,5.62429696
-0.13528301,0.27941698,5.62429696
-0.33112120,0.26696573,5.62429696
-0.46758327,0.25380580,5.62429696
-0.59612865,0.23720784,5.62429696
-0.71642028,0.21770355,5.62429696
-0.82664268,0.19389739,5.62429696
-0.92631115,0.16667744,5.62429696
-1.01066194,0.13601493,5.62429696
-1.07207550,0.10325011,5.62429696
-1.10916276,0.06843837,5.62429696
-1.12450977,0.02804352,5.62429696
-1.12450977,0.02804352,5.62429696
-1.11103719,-0.00672386,5.62429696
-1.07536220,-0.02854243,5.62429696
-1.01523976,-0.04755004,5.62429696
-0.93207690,-0.06452177,5.62429696
-0.83342922,-0.07823398,5.62429696
-0.72409299,-0.08996232,5.62429696
-0.60454171,-0.10014509,5.62429696
-0.47664694,-0.10963575,5.62429696
-0.34072891,-0.11829132,5.62429696
-0.14547876,-0.12941969,5.62429696
-0.08773531,-0.13253117,5.62429696
0.11124143,-0.14261518,5.62429696
0.27448339,-0.14997179,5.62429696
0.44359968,-0.15733987,5.62429696
0.61597438,-0.16388905,5.62429696
0.79132225,-0.16992726,5.62429696
0.96752130,-0.17522156,5.62429696
1.14373942,-0.17975119,5.62429696
1.31946810,-0.18350347,5.62429696
1.49503318,-0.18639651,5.62429696
1.67080561,-0.18839456,5.62429696
1.84799068,-0.18939264,5.62429696
2.02830556,-0.18916354,5.62429696
2.21134094,-0.18742699,5.62429696
2.39428362,-0.18384278,5.62429696
2.57098527,-0.17825758,5.62429696
2.73867333,-0.17055725,5.62429696
2.89892740,-0.16046612,5.62429696
3.05313769,-0.14788383,5.62429696
3.20255910,-0.13257163,5.62429696
3.35104963,-0.11192523,5.62429696
