Station,r/R,X_in,Y_in,Z_in
2,0.142857,2.57098527,-0.17825758,5.62429696
2,0.142857,2.73867333,-0.17055725,5.62429696
2,0.142857,2.89892740,-0.16046612,5.62429696
2,0.142857,3.05313769,-0.14788383,5.62429696
2,0.142857,3.20255910,-0.13257163,5.62429696
2,0.142857,3.35104963,-0.11192523,5.62429696
3,0.285714,3.19005482,-0.13353030,11.24859393
3,0.285714,3.05040907,-0.10721624,11.24859393
3,0.285714,2.90988022,-0.07829023,11.24859393
3,0.285714,2.76477881,-0.04828006,11.24859393
3,0.285714,2.61390957,-0.01729727,11.24859393
3,0.285714,2.45593682,0.01438243,11.24859393
3,0.285714,2.28935336,0.04657747,11.24859393
3,0.285714,2.11674954,0.07821702,11.24859393
3,0.285714,1.94391371,0.10785665,11.24859393
3,0.285714,1.77350364,0.13489293,11.24859393
3,0.285714,1.60591065,0.15922075,11.24859393
3,0.285714,1.43951484,0.18104934,11.24859393
3,0.285714,1.27317765,0.20052113,11.24859393
3,0.285714,1.10654746,0.21765365,11.24859393
3,0.285714,0.93931872,0.23250497,11.24859393
3,0.285714,0.77197706,0.24509363,11.24859393
3,0.285714,0.60530726,0.25525208,11.24859393
3,0.285714,0.44133758,0.26300749,11.24859393
3,0.285714,0.28033815,0.26847477,11.24859393
3,0.285714,0.12478026,0.27084581,11.24859393
3,0.285714,-0.06505920,0.26968163,11.24859393
3,0.285714,-0.11977592,0.25749257,11.24859393
3,0.285714,-0.30601406,0.25008811,11.24859393
3,0.285714,-0.43569163,0.23988126,11.24859393
3,0.285714,-0.55769327,0.22504906,11.24859393
3,0.285714,-0.67116936,0.20586144,11.24859393
3,0.285714,-0.77438356,0.18095724,11.24859393
3,0.285714,-0.86588392,0.15166420,11.24859393
3,0.285714,-0.93964748,0.11961723,11.24859393
3,0.285714,-0.98643680,0.09069359,11.24859393
3,0.285714,-1.00713795,0.07300840,11.24859393
3,0.285714,-1.06728805,0.05326613,11.24859393
3,0.285714,-1.02024086,0.07019428,11.24859393
3,0.285714,-1.02916532,0.06041533,11.24859393
3,0.285714,-1.00762401,0.03985051,11.24859393
3,0.285714,-0.95672642,0.01537579,11.24859393
3,0.285714,-0.88151460,-0.00950511,11.24859393
3,0.285714,-0.78979344,-0.03136816,11.24859393
3,0.285714,-0.68713469,-0.05028744,11.24859393
3,0.285714,-0.57419735,-0.06646966,11.24859393
3,0.285714,-0.45308698,-0.08069169,11.24859393
3,0.285714,-0.32414165,-0.09312137,11.24859393
3,0.285714,-0.13869919,-0.10858175,11.24859393
3,0.285714,-0.08470081,-0.12387541,11.24859393
3,0.285714,0.10436654,-0.13818166,11.24859393
3,0.285714,0.25950044,-0.14904832,11.24859393
3,0.285714,0.42022289,-0.16006549,11.24859393
3,0.285714,0.58406472,-0.17038239,11.24859393
3,0.285714,0.75074731,-0.18028469,11.24859393
3,0.285714,0.91825729,-0.18950073,11.24859393
3,0.285714,1.08580350,-0.19799100,11.24859393
3,0.285714,1.25290243,-0.20573139,11.24859393
3,0.285714,1.41986603,-0.21265187,11.24859393
3,0.285714,1.58704805,-0.21872729,11.24859393
3,0.285714,1.75559770,-0.22388662,11.24859393
3,0.285714,1.92715406,-0.22795487,11.24859393
3,0.285714,2.10133432,-0.23065614,11.24859393
3,0.285714,2.27547007,-0.23160048,11.24859393
3,0.285714,2.44371544,-0.23049614,11.24859393
3,0.285714,2.60343531,-0.22716879,11.24859393
3,0.285714,2.75613904,-0.22139419,11.24859393
3,0.285714,2.90315164,-0.21311006,11.24859393
3,0.285714,3.04567265,-0.20211949,11.24859393
3,0.285714,3.18743413,-0.18604087,11.24859393
4,0.428571,3.02605784,-0.20240659,16.87289089
4,0.428571,2.89416040,-0.17416721,16.87289089
4,0.428571,2.76148638,-0.14343312,16.87289089
4,0.428571,2.62449875,-0.11156360,16.87289089
4,0.428571,2.48206063,-0.07863589,16.87289089
4,0.428571,2.33289805,-0.04487938,16.87289089
4,0.428571,2.17557648,-0.01043022,16.87289089
4,0.428571,2.01252884,0.02363588,16.87289089
4,0.428571,1.84921399,0.05581340,16.87289089
4,0.428571,1.68813981,0.08546772,16.87289089
4,0.428571,1.52967517,0.11248997,16.87289089
4,0.428571,1.37228779,0.13711680,16.87289089
4,0.428571,1.21490061,0.15951015,16.87289089
4,0.428571,1.05718035,0.17969500,16.87289089
4,0.428571,0.89883844,0.19773358,16.87289089
4,0.428571,0.74033613,0.21363192,16.87289089
4,0.428571,0.58241421,0.22721270,16.87289089
4,0.428571,0.42699805,0.23845345,16.87289089
4,0.428571,0.27434666,0.24745658,16.87289089
4,0.428571,0.12678616,0.25339804,16.87289089
4,0.428571,-0.05338890,0.25680586,16.87289089
4,0.428571,-0.10559488,0.24598309,16.87289089
4,0.428571,-0.28248157,0.24338827,16.87289089
4,0.428571,-0.40575859,0.23676068,16.87289089
4,0.428571,-0.52185175,0.22550854,16.87289089
4,0.428571,-0.62992372,0.20985134,16.87289089
4,0.428571,-0.72835553,0.18845665,16.87289089
4,0.428571,-0.81568908,0.16257014,16.87289089
4,0.428571,-0.88609145,0.13368689,16.87289089
4,0.428571,-0.93054419,0.10740415,16.87289089
4,0.428571,-0.94977711,0.09188448,16.87289089
4,0.428571,-1.00954265,0.07565476,16.87289089
4,0.428571,-0.96209918,0.09143820,16.87289089
4,0.428571,-0.97185154,0.08363961,16.87289089
4,0.428571,-0.95248486,0.06369500,16.87289089
4,0.428571,-0.90505759,0.03903524,16.87289089
4,0.428571,-0.83445281,0.01332054,16.87289089
4,0.428571,-0.74802620,-0.00990860,16.87289089
4,0.428571,-0.65111328,-0.03053523,16.87289089
4,0.428571,-0.54435412,-0.04872999,16.87289089
4,0.428571,-0.42978002,-0.06518122,16.87289089
4,0.428571,-0.30771840,-0.08005919,16.87289089
4,0.428571,-0.13210937,-0.09911468,16.87289089
4,0.428571,-0.08128621,-0.11545787,16.87289089
4,0.428571,0.09779223,-0.13349909,16.87289089
4,0.428571,0.24475052,-0.14747651,16.87289089
4,0.428571,0.39700850,-0.16172926,16.87289089
4,0.428571,0.55224310,-0.17539291,16.87289089
4,0.428571,0.71018317,-0.18873139,16.87289089
4,0.428571,0.86892454,-0.20143959,16.87289089
4,0.428571,1.02771736,-0.21346129,16.87289089
4,0.428571,1.18610338,-0.22476216,16.87289089
4,0.428571,1.34438026,-0.23528329,16.87289089
4,0.428571,1.50288431,-0.24500928,16.87289089
4,0.428571,1.66270770,-0.25390014,16.87289089
4,0.428571,1.82540997,-0.26182910,16.87289089
4,0.428571,1.99063435,-0.26852577,16.87289089
4,0.428571,2.15585782,-0.27355742,16.87289089
4,0.428571,2.31553982,-0.27650885,16.87289089
4,0.428571,2.46718388,-0.27715236,16.87289089
4,0.428571,2.61222755,-0.27531142,16.87289089
4,0.428571,2.75192967,-0.27095855,16.87289089
4,0.428571,2.88743318,-0.26393574,16.87289089
4,0.428571,3.02233563,-0.25207609,16.87289089
5,0.571429,2.73650836,-0.23339406,22.49718785
5,0.571429,2.61168950,-0.20122471,22.49718785
5,0.571429,2.48281560,-0.16788086,22.49718785
5,0.571429,2.34880914,-0.13340844,22.49718785
5,0.571429,2.20845930,-0.09799379,22.49718785
5,0.571429,2.06040553,-0.06173136,22.49718785
5,0.571429,1.90692471,-0.02569461,22.49718785
5,0.571429,1.75314689,0.00856537,22.49718785
5,0.571429,1.60143019,0.04038980,22.49718785
5,0.571429,1.45212111,0.06966713,22.49718785
5,0.571429,1.30377531,0.09665721,22.49718785
5,0.571429,1.15537746,0.12153851,22.49718785
5,0.571429,1.00661278,0.14434252,22.49718785
5,0.571429,0.85720968,0.16513486,22.49718785
5,0.571429,0.70760476,0.18391028,22.49718785
5,0.571429,0.55849479,0.20048374,22.49718785
5,0.571429,0.41170106,0.21478830,22.49718785
5,0.571429,0.26747105,0.22691452,22.49718785
5,0.571429,0.12798650,0.23602909,22.49718785
