x/c,y/c
1,0.001785
0.9750279999999999,0.0036520000000000003
0.9501850000000001,0.0057220000000000005
0.92535,0.008012
0.900509,0.010513999999999999
0.875699,0.013210999999999999
0.8509699999999999,0.016086
0.826309,0.019139
0.801713,0.022378
0.777197,0.025808
0.7525020000000001,0.029451
0.7276940000000001,0.033251
0.702978,0.037093
0.6781570000000001,0.040912
0.6532439999999999,0.044621
0.628341,0.048144
0.603417,0.051447
0.578512,0.054509999999999996
0.553618,0.057324
0.528707,0.059876
0.503763,0.062129000000000004
0.478891,0.064013
0.453678,0.065499
0.42839,0.066543
0.403297,0.067163
0.37814,0.06742200000000001
0.353142,0.067381
0.303145,0.066614
0.252956,0.065143
0.225,0.06404
0.2125,0.06345799590090893
0.177227,0.061578999999999995
0.151842,0.05979
0.126143,0.057324
0.100188,0.053673
0.073686,0.047953
0.047035999999999994,0.038875
0.023542999999999998,0.02598
0.009072,0.013175
0.002864,0.004313
0,-0.005726
0,-0.005726
0.004687,-0.015907
0.01435,-0.021823000000000002
0.016462,-0.022703
0.025184,-0.0256664
0.035595,-0.028199000000000002
0.061864999999999996,-0.031576
0.10824199999999999,-0.032011
0.132051,-0.031269
0.156116,-0.030611000000000003
0.180495,-0.030276
0.2125,-0.03031033323368211
0.225,-0.0303984
0.254059,-0.030703
0.303398,-0.031393
0.35292900000000005,-0.03209
0.377696,-0.032369
0.402303,-0.032553
0.426974,-0.0326
0.451451,-0.032473999999999996
0.47600200000000004,-0.032163
0.500894,-0.031659
0.525714,-0.030972
0.550567,-0.03009
0.575437,-0.029062
0.600297,-0.027933
0.6251359999999999,-0.02675
0.649997,-0.025542
0.6748489999999999,-0.024327
0.6997920000000001,-0.023108
0.7248399999999999,-0.021873
0.7497969999999999,-0.02061
0.7748659999999999,-0.019273
0.800114,-0.017818
0.825282,-0.016215
0.850386,-0.014419999999999999
0.875421,-0.012443
0.900374,-0.010311999999999998
0.925298,-0.008079
0.950227,-0.005728
0.9751479999999999,-0.00316
1,0.00020299999999999997
