x/c,y/c
1,0.041666666666666664
0.9994870141914641,0.04818476937667629
0.9979606881789648,0.05454237476562281
0.9954586051745152,0.06058293748914778
0.9920423747656227,0.06615771884551971
0.9877961158827727,0.07112944921610614
0.9828243855121864,0.07537570809895615
0.9772496041558144,0.07879193850784866
0.9712090414322895,0.08129402151229807
0.964851436043343,0.0828203475247974
0.9583333333333334,0.08333333333333333
0.9583333333333334,0.08333333333333333
0.921875,0.08333333333333333
0.8854166666666666,0.08333333333333333
0.8489583333333334,0.08333333333333333
0.8125,0.08333333333333333
0.7760416666666666,0.08333333333333333
0.7395833333333334,0.08333333333333333
0.703125,0.08333333333333333
0.6666666666666666,0.08333333333333333
0.6302083333333334,0.08333333333333333
0.59375,0.08333333333333333
0.5572916666666666,0.08333333333333333
0.5208333333333334,0.08333333333333333
0.484375,0.08333333333333333
0.4479166666666667,0.08333333333333333
0.4114583333333333,0.08333333333333333
0.375,0.08333333333333333
0.3385416666666667,0.08333333333333333
0.3020833333333333,0.08333333333333333
0.265625,0.08333333333333333
0.22916666666666666,0.08333333333333333
0.19270833333333334,0.08333333333333333
0.15625,0.08333333333333333
0.11979166666666667,0.08333333333333333
0.08333333333333333,0.08333333333333333
0.08333333333333333,0.08333333333333333
0.07400296032472435,0.08280935082443688
0.06478992217030714,0.08124399268181863
0.055810078170402753,0.07865694419236396
0.047176355073536826,0.07508073899186826
0.038997326957055295,0.07056034993569035
0.03137584984510557,0.06515262353900252
0.02440776823445438,0.05892556509887897
0.01818070979433085,0.0519574834882278
0.01277298339764299,0.044336006376278055
0.00825259434146508,0.03615697825979652
0.0046763891409693685,0.0275232551629306
0.0020893406515146984,0.01854341116302621
0.0005239825088964497,0.009330373008608998
0,1.0209570457571834e-17
0.0005239825088964589,-0.009330373008609014
0.0020893406515146893,-0.018543411163026154
0.0046763891409693685,-0.02752325516293058
0.008252594341465072,-0.0361569782597965
0.012772983397642998,-0.04433600637627807
0.018180709794330868,-0.05195748348822782
0.02440776823445436,-0.05892556509887895
0.031375849845105525,-0.06515262353900247
0.038997326957055274,-0.07056034993569034
0.04717635507353681,-0.07508073899186825
0.05581007817040273,-0.07865694419236395
0.06478992217030705,-0.08124399268181862
0.07400296032472432,-0.08280935082443688
0.08333333333333331,-0.08333333333333333
0.08333333333333333,-0.08333333333333333
0.11979166666666667,-0.08333333333333333
0.15625,-0.08333333333333333
0.19270833333333334,-0.08333333333333333
0.22916666666666666,-0.08333333333333333
0.265625,-0.08333333333333333
0.3020833333333333,-0.08333333333333333
0.3385416666666667,-0.08333333333333333
0.375,-0.08333333333333333
0.4114583333333333,-0.08333333333333333
0.4479166666666667,-0.08333333333333333
0.484375,-0.08333333333333333
0.5208333333333334,-0.08333333333333333
0.5572916666666666,-0.08333333333333333
0.59375,-0.08333333333333333
0.6302083333333334,-0.08333333333333333
0.6666666666666666,-0.08333333333333333
0.703125,-0.08333333333333333
0.7395833333333334,-0.08333333333333333
0.7760416666666666,-0.08333333333333333
0.8125,-0.08333333333333333
0.8489583333333334,-0.08333333333333333
0.8854166666666666,-0.08333333333333333
0.921875,-0.08333333333333333
0.9583333333333334,-0.08333333333333333
0.9583333333333334,-0.08333333333333333
0.964851436043343,-0.0828203475247974
0.9712090414322895,-0.08129402151229807
0.9772496041558144,-0.07879193850784866
0.9828243855121864,-0.07537570809895615
0.9877961158827727,-0.07112944921610614
0.9920423747656227,-0.06615771884551971
0.9954586051745152,-0.06058293748914778
0.9979606881789648,-0.05454237476562281
0.9994870141914641,-0.04818476937667629
1,-0.041666666666666664
